Return_ID,Order_Item_ID,Return_Date,Quantity_Returned,Refund_Amount,Reason_for_Return
42,12513,2026-06-07 17:44:27,4,217145.72,Wrong Item Delivered
43,11822,2026-06-24 13:20:22,3,21296.79,Wrong Item Delivered
44,2390,2026-05-15 02:34:39,1,45571.21,Size Issue
45,7204,2026-06-28 18:53:38,4,231935.6,Damaged Product
46,3800,2025-01-30 17:36:20,2,81199.46,Defective Product
47,3585,2026-06-20 16:08:51,1,21690.71,Size Issue
48,11321,2026-05-02 05:53:40,2,83136.88,Damaged Product
49,13132,2025-11-24 10:08:51,1,26970.33,Wrong Item Delivered
50,5556,2026-06-10 15:28:59,4,128960.44,Wrong Item Delivered
51,875,2025-03-25 08:46:58,2,14823.74,Damaged Product
52,3072,2025-10-18 15:22:26,4,122704.32,Damaged Product
53,1863,2025-08-30 05:00:30,5,35886.8,Wrong Item Delivered
54,5018,2025-10-26 13:00:57,1,1889.76,Size Issue
55,2681,2026-06-30 23:59:59,2,61914.56,Damaged Product
56,1635,2026-06-30 23:59:59,3,4050.06,Wrong Item Delivered
57,7937,2026-06-30 23:59:59,2,43198.72,Wrong Item Delivered
58,2203,2025-07-16 08:52:02,5,114583.2,Defective Product
59,1434,2026-06-30 23:59:59,2,3358.88,Size Issue
60,10103,2026-04-10 10:45:31,1,51065.63,Size Issue
61,9739,2026-05-12 00:06:42,4,223234.96,Defective Product
62,8555,2026-05-22 21:41:42,3,79549.05,Customer Changed Mind
63,9805,2026-06-24 16:00:08,2,3721.98,Wrong Item Delivered
64,8557,2026-06-30 23:59:59,3,119550.9,Defective Product
65,2132,2025-09-28 03:26:08,3,32865.36,Damaged Product
66,3601,2026-05-26 00:07:15,2,18204.14,Defective Product
67,11407,2026-06-29 23:39:20,5,39507.05,Customer Changed Mind
68,7252,2025-11-19 08:10:36,5,63672.35,Customer Changed Mind
69,2243,2026-06-28 05:34:39,3,75776.37,Wrong Item Delivered
70,2490,2026-06-26 10:15:13,2,70003.84,Wrong Item Delivered
71,4195,2026-04-18 16:20:15,1,10425.94,Size Issue
72,2167,2026-06-30 23:59:59,2,51562.14,Defective Product
73,8370,2025-07-22 22:25:42,1,11169.83,Damaged Product
74,2329,2026-06-03 13:20:09,2,3358.88,Damaged Product
75,4803,2026-05-28 22:24:37,4,190867.12,Customer Changed Mind
76,4210,2026-03-14 17:45:12,5,202998.65,Wrong Item Delivered
77,12099,2025-07-25 15:01:30,4,207880.0,Customer Changed Mind
78,13189,2026-05-18 12:02:14,4,182330.4,Size Issue
79,2335,2026-06-27 17:31:43,5,13917.05,Wrong Item Delivered
80,10192,2026-06-13 18:57:25,2,20851.88,Defective Product
81,11155,2026-06-19 09:34:49,4,21105.88,Customer Changed Mind
82,934,2025-12-16 08:49:26,4,140007.68,Damaged Product
83,7193,2025-01-07 14:36:18,2,112988.84,Wrong Item Delivered
84,1978,2025-06-01 05:08:42,1,28695.07,Size Issue
85,2857,2026-06-13 16:50:31,5,207842.2,Customer Changed Mind
86,2377,2026-06-30 23:59:59,1,11931.31,Customer Changed Mind
87,11965,2026-06-30 23:59:59,1,38689.96,Damaged Product
88,3908,2026-02-14 23:39:16,5,114270.95,Wrong Item Delivered
89,504,2026-06-30 23:59:59,1,35001.92,Damaged Product
90,2575,2026-01-07 09:59:30,5,309406.9,Customer Changed Mind
91,12788,2026-06-22 05:42:07,2,84943.22,Wrong Item Delivered
92,5543,2025-08-23 17:47:18,5,161200.55,Damaged Product
93,3508,2026-05-02 19:29:30,4,106065.4,Customer Changed Mind
94,10963,2026-06-30 23:59:59,1,5533.32,Size Issue
95,196,2026-06-17 07:34:11,5,277102.55,Size Issue
96,62,2026-05-11 22:02:38,5,55849.15,Damaged Product
97,7689,2026-06-25 05:04:28,1,68459.59,Defective Product
98,2497,2025-08-28 05:41:40,4,117259.12,Defective Product
99,3685,2025-11-24 18:33:49,2,40446.28,Customer Changed Mind
100,13188,2025-10-12 11:09:41,3,124228.05,Customer Changed Mind
101,2414,2026-06-10 19:42:06,4,42562.64,Customer Changed Mind
102,4666,2026-06-24 10:49:07,1,48596.53,Size Issue
103,8958,2026-03-19 21:18:58,4,126981.08,Damaged Product
104,10481,2026-06-30 23:59:59,3,84756.15,Damaged Product
105,4485,2026-06-20 00:35:14,5,128799.8,Size Issue
106,4410,2026-06-17 05:59:16,3,88572.99,Wrong Item Delivered
107,4223,2026-06-29 09:35:30,5,86989.7,Defective Product
108,4557,2026-06-30 23:59:59,4,852.0,Customer Changed Mind
109,988,2025-12-17 08:10:03,1,5840.36,Damaged Product
110,5558,2025-12-04 04:24:51,2,5595.08,Size Issue
111,1664,2026-06-30 23:59:59,3,5669.28,Damaged Product
112,3242,2026-03-08 23:37:08,1,45571.21,Defective Product
113,10850,2026-06-26 02:17:05,2,128724.52,Damaged Product
114,7340,2025-08-14 15:12:15,4,76823.12,Customer Changed Mind
115,4611,2026-06-30 23:59:59,1,1896.99,Size Issue
116,10365,2026-06-22 01:55:36,1,12330.19,Wrong Item Delivered
117,8913,2026-05-23 13:34:17,4,224586.48,Damaged Product
118,8829,2025-09-06 08:24:24,4,142679.92,Damaged Product
119,7341,2026-06-26 13:12:42,1,57983.9,Customer Changed Mind
120,916,2025-12-24 01:40:24,5,268947.15,Wrong Item Delivered
121,5861,2026-01-30 04:10:35,1,6132.98,Customer Changed Mind
122,5533,2026-05-12 01:13:37,5,149803.2,Damaged Product
123,4178,2026-05-26 22:34:27,4,264486.36,Defective Product
124,13049,2026-05-27 05:40:44,5,141260.25,Defective Product
125,8661,2026-06-24 14:19:13,1,62257.94,Customer Changed Mind
126,197,2026-06-11 02:36:44,2,10552.94,Size Issue
127,745,2026-01-27 09:16:58,3,133156.89,Defective Product
128,5859,2025-08-21 03:57:05,3,16487.16,Damaged Product
129,7672,2026-04-14 03:35:27,2,46755.22,Customer Changed Mind
130,12150,2024-11-18 14:08:59,5,297546.6,Size Issue
131,2946,2026-06-05 12:42:09,2,70003.84,Defective Product
132,5392,2025-11-23 05:33:49,3,149407.23,Size Issue
133,12544,2026-06-18 19:59:10,4,145667.04,Defective Product
134,2514,2026-06-23 16:13:08,3,17521.08,Customer Changed Mind
135,13389,2026-06-22 10:31:29,3,116069.88,Size Issue
136,9409,2026-05-02 10:40:20,5,297546.6,Damaged Product
137,10632,2026-06-30 23:59:59,4,59371.56,Wrong Item Delivered
138,4158,2025-12-18 16:07:28,5,259850.0,Damaged Product
139,5020,2026-05-16 09:47:52,3,27306.21,Wrong Item Delivered
140,10091,2026-06-23 19:22:14,2,8362.38,Customer Changed Mind
141,3766,2025-08-21 12:36:57,5,13987.7,Size Issue
142,863,2024-11-21 10:26:34,1,55437.19,Wrong Item Delivered
143,9365,2025-11-05 04:51:55,3,160613.46,Customer Changed Mind
144,11503,2026-05-14 15:53:34,1,7901.41,Customer Changed Mind
145,9333,2026-06-22 02:41:33,1,3826.07,Damaged Product
146,8504,2026-02-26 02:35:27,3,157675.47,Wrong Item Delivered
147,11514,2026-06-30 16:16:47,2,7652.14,Wrong Item Delivered
148,2651,2025-11-07 01:51:20,3,12543.57,Damaged Product
149,13032,2026-06-25 15:13:36,3,38338.17,Defective Product
150,3263,2025-12-04 20:30:38,1,55420.51,Damaged Product
151,3227,2025-02-14 18:18:37,1,24742.5,Defective Product
152,12996,2025-03-23 01:27:13,2,100969.04,Damaged Product
153,2300,2026-05-28 11:39:28,5,54041.65,Damaged Product
154,1439,2025-11-10 10:33:26,2,20851.88,Wrong Item Delivered
155,5726,2026-06-19 21:42:18,1,27207.03,Customer Changed Mind
156,3379,2026-06-30 23:59:59,2,84788.24,Wrong Item Delivered
157,10909,2026-05-03 02:19:29,3,24827.46,Damaged Product
158,2745,2025-12-20 07:42:06,1,9102.07,Size Issue
159,8487,2026-04-07 15:26:32,3,64186.59,Damaged Product
160,2998,2026-06-17 06:14:21,2,123762.76,Size Issue
161,12706,2026-06-27 12:05:16,5,203643.1,Wrong Item Delivered
162,12840,2025-12-13 16:10:03,5,63672.35,Damaged Product
163,3537,2025-09-11 05:34:44,1,64362.26,Size Issue
164,3989,2025-03-03 18:28:27,4,45734.68,Size Issue
165,2492,2026-06-30 23:59:59,2,15252.42,Wrong Item Delivered
166,12811,2026-01-18 19:02:51,4,251692.92,Defective Product
167,799,2026-03-10 03:18:42,1,9524.26,Wrong Item Delivered
168,1384,2026-06-14 22:32:08,1,45400.81,Damaged Product
169,8280,2026-06-30 23:59:59,5,141260.25,Customer Changed Mind
170,6806,2026-06-30 23:59:59,3,31569.75,Customer Changed Mind
171,11672,2026-06-27 20:39:26,5,342297.95,Damaged Product
172,1768,2026-05-15 12:26:50,1,44633.15,Damaged Product
173,12354,2025-06-18 07:24:38,2,83014.7,Size Issue
174,13277,2026-06-21 03:29:47,5,275936.5,Damaged Product
175,6146,2026-04-20 14:22:38,2,61914.56,Defective Product
176,2816,2026-05-27 22:15:46,4,236067.8,Size Issue
177,6484,2025-11-30 13:31:25,2,51562.14,Wrong Item Delivered
178,10466,2026-06-30 23:59:59,2,15252.42,Damaged Product
179,4697,2026-06-11 10:48:22,1,6132.98,Damaged Product
180,5753,2026-05-02 01:06:40,4,31605.64,Wrong Item Delivered
181,6334,2026-06-07 11:36:52,5,56220.0,Damaged Product
182,890,2026-03-18 03:05:33,4,235981.24,Damaged Product
183,9605,2026-06-02 07:56:30,3,162530.1,Size Issue
184,8430,2026-06-21 12:46:27,5,56220.0,Customer Changed Mind
185,697,2025-11-14 08:55:38,2,103698.66,Wrong Item Delivered
186,7500,2025-08-13 22:28:53,2,3779.52,Wrong Item Delivered
187,8542,2025-11-30 03:36:22,4,73853.56,Damaged Product
188,7229,2026-06-24 05:44:35,5,24674.55,Wrong Item Delivered
189,2080,2026-06-16 19:14:27,3,136713.63,Wrong Item Delivered
190,10670,2024-08-26 01:44:11,4,182362.96,Customer Changed Mind
191,1451,2025-06-12 10:23:39,4,264486.36,Damaged Product
192,1048,2025-08-12 23:30:10,3,122185.86,Wrong Item Delivered
193,3662,2026-06-21 11:55:49,2,46755.22,Customer Changed Mind
194,10746,2026-06-30 23:59:59,3,195028.14,Size Issue
195,13000,2026-06-30 12:48:53,4,18119.24,Damaged Product
196,12712,2026-06-30 23:59:59,4,118964.08,Size Issue
197,9080,2025-09-17 15:16:42,1,48596.53,Customer Changed Mind
198,4959,2026-06-30 23:59:59,2,129113.74,Wrong Item Delivered
199,7968,2026-06-02 21:21:32,3,96893.22,Wrong Item Delivered
200,10396,2026-06-11 20:13:43,1,44385.63,Customer Changed Mind
201,1007,2026-06-30 23:59:59,3,205363.74,Damaged Product
202,5032,2026-06-30 23:59:59,5,53774.75,Wrong Item Delivered
203,891,2026-06-21 11:48:20,1,31454.59,Customer Changed Mind
204,2983,2026-06-30 23:59:59,3,122728.47,Size Issue
205,13462,2026-06-12 20:09:08,4,217273.44,Wrong Item Delivered
206,13088,2026-06-06 23:02:24,4,204262.52,Wrong Item Delivered
207,2746,2026-05-22 14:25:34,5,56220.0,Damaged Product
208,7997,2025-08-22 18:36:57,4,125818.36,Customer Changed Mind
209,4290,2025-11-30 05:55:31,3,8350.23,Defective Product
210,10149,2026-03-11 01:46:18,2,33247.72,Customer Changed Mind
211,151,2025-04-11 09:40:35,2,66888.98,Size Issue
212,868,2025-11-17 07:44:17,2,58734.68,Damaged Product
213,12271,2025-09-23 21:20:17,2,81818.98,Damaged Product
214,11278,2026-06-30 23:59:59,1,56227.97,Wrong Item Delivered
215,3753,2026-06-16 02:15:52,2,50281.26,Defective Product
216,8412,2026-06-20 00:27:08,4,264486.36,Damaged Product
217,10886,2026-06-23 20:39:24,3,168758.97,Wrong Item Delivered
218,2684,2025-08-06 16:26:08,4,186319.8,Customer Changed Mind
219,13015,2026-04-16 18:38:12,5,245670.05,Customer Changed Mind
220,10106,2026-06-28 21:41:05,4,47725.24,Size Issue
221,11788,2026-06-23 21:28:26,3,42089.28,Size Issue
222,6045,2025-01-21 23:08:15,2,42595.08,Damaged Product
223,6032,2026-01-25 06:38:51,2,83136.88,Customer Changed Mind
224,3710,2025-10-26 12:07:40,1,41568.44,Damaged Product
225,6255,2026-01-12 03:48:22,2,86218.16,Damaged Product
226,10662,2026-05-27 09:09:50,2,116444.4,Size Issue
227,3695,2025-03-03 23:27:11,2,111617.48,Size Issue
228,1305,2026-05-04 15:10:58,3,86704.95,Defective Product
229,5692,2024-08-20 21:11:06,5,277185.95,Customer Changed Mind
230,11859,2025-07-28 22:03:36,2,132181.56,Customer Changed Mind
231,13075,2026-06-28 02:33:38,2,89266.3,Damaged Product
232,12865,2026-06-02 18:32:05,1,25781.07,Wrong Item Delivered
233,7577,2025-08-29 15:12:25,3,76939.08,Size Issue
234,10519,2026-04-17 03:19:29,2,50517.58,Wrong Item Delivered
235,3862,2025-10-28 21:25:35,4,225011.96,Size Issue
236,7471,2026-04-19 06:31:22,4,59371.56,Customer Changed Mind
237,710,2026-06-23 22:44:35,1,49134.01,Defective Product
238,3648,2026-06-30 23:59:59,4,102585.44,Defective Product
239,9108,2026-06-30 23:59:59,1,60076.97,Damaged Product
240,11701,2026-06-19 04:41:28,3,122678.55,Defective Product
241,8776,2026-06-08 23:39:19,5,284635.45,Defective Product
242,5552,2026-05-20 23:02:32,4,117469.36,Wrong Item Delivered
243,7387,2026-06-29 17:42:14,5,136035.15,Size Issue
244,7234,2025-05-21 23:18:46,1,22922.96,Size Issue
245,2106,2026-06-06 01:27:36,1,9102.07,Damaged Product
246,10738,2026-04-02 18:10:52,4,30504.84,Size Issue
247,6819,2025-08-22 09:54:13,2,77514.7,Size Issue
248,64,2026-06-03 18:41:27,5,275936.5,Customer Changed Mind
249,12601,2026-03-24 18:16:29,5,244208.85,Size Issue
250,3345,2026-05-11 14:43:45,1,35165.54,Size Issue
251,3520,2026-03-25 18:56:58,2,25961.42,Wrong Item Delivered
252,3092,2025-10-13 12:45:55,5,61915.45,Wrong Item Delivered
253,13334,2026-01-01 06:14:14,4,30504.84,Customer Changed Mind
254,6172,2025-03-29 06:46:58,3,36990.57,Wrong Item Delivered
255,12777,2026-03-20 00:04:16,4,224586.48,Customer Changed Mind
256,442,2026-01-28 12:48:06,5,312735.2,Size Issue
257,6930,2026-06-24 16:20:02,1,10523.25,Wrong Item Delivered
258,3177,2026-06-30 23:59:59,1,29903.35,Size Issue
259,5650,2026-06-28 11:04:03,3,177500.55,Defective Product
260,9465,2026-06-01 21:59:14,3,74227.5,Defective Product
261,9247,2026-06-14 07:37:11,1,45423.62,Size Issue
262,10280,2026-05-11 17:19:17,5,342272.9,Damaged Product
263,9711,2026-05-16 22:25:35,5,64014.95,Customer Changed Mind
264,9916,2026-03-23 11:04:09,1,38403.76,Damaged Product
265,450,2024-07-27 20:12:38,5,312735.2,Damaged Product
266,12841,2026-06-30 23:59:59,1,25646.36,Damaged Product
267,6273,2026-01-09 16:51:43,2,84943.22,Wrong Item Delivered
268,7181,2026-03-04 23:30:30,3,55390.17,Damaged Product
269,10471,2026-06-30 23:59:59,3,128350.71,Customer Changed Mind
270,235,2026-02-19 13:50:12,1,59038.83,Size Issue
271,2239,2026-01-27 11:01:32,4,21105.88,Wrong Item Delivered
272,3615,2026-04-22 17:26:12,2,100969.04,Size Issue
273,12278,2026-06-06 16:45:32,5,41379.1,Damaged Product
274,1661,2025-07-13 04:47:15,1,3395.09,Wrong Item Delivered
275,7495,2025-08-07 20:36:50,3,133899.45,Damaged Product
276,12587,2025-08-02 05:20:54,5,134851.65,Damaged Product
277,5418,2026-06-30 23:59:59,4,273838.36,Size Issue
278,737,2026-05-10 10:40:33,3,129327.24,Defective Product
279,8638,2026-05-10 08:12:24,2,16551.64,Defective Product
280,1622,2026-02-02 12:23:44,5,132581.75,Damaged Product
281,269,2026-06-07 07:25:45,1,1679.44,Size Issue
282,5253,2025-11-11 04:29:18,5,291111.0,Size Issue
283,4001,2026-04-02 00:37:14,5,16975.45,Customer Changed Mind
284,5415,2026-05-31 15:24:43,1,18898.17,Defective Product
285,2218,2026-01-27 00:44:58,1,41507.35,Damaged Product
286,1698,2026-04-05 14:51:06,5,227004.05,Size Issue
287,7116,2026-06-30 23:59:59,3,96893.22,Defective Product
288,2909,2025-09-18 13:07:50,3,110075.19,Size Issue
289,2100,2025-05-28 05:39:45,3,97101.54,Damaged Product
290,9445,2026-06-07 13:40:37,4,75592.68,Defective Product
291,6684,2026-06-13 13:34:05,2,107553.76,Defective Product
292,5856,2026-05-19 21:52:20,2,81199.46,Customer Changed Mind
293,2163,2026-06-14 01:48:21,2,90847.24,Wrong Item Delivered
294,2583,2026-04-03 00:30:06,5,295194.15,Damaged Product
295,1704,2025-07-02 19:29:36,4,119842.56,Wrong Item Delivered
296,12997,2026-06-08 14:00:37,5,41467.75,Wrong Item Delivered
297,1799,2026-06-13 21:39:02,2,8362.38,Wrong Item Delivered
298,9404,2026-06-09 20:26:31,4,152024.92,Damaged Product
299,8648,2026-06-18 04:59:45,1,61881.38,Size Issue
300,11858,2026-01-18 03:11:45,2,3779.52,Damaged Product
301,6849,2026-06-20 08:15:53,1,55038.37,Customer Changed Mind
302,5119,2026-06-08 20:52:35,1,2172.62,Defective Product
303,12039,2026-03-16 21:54:54,5,106977.65,Customer Changed Mind
304,4448,2025-10-21 14:58:07,2,48961.82,Defective Product
305,7780,2026-04-20 05:42:57,4,166273.76,Size Issue
306,1370,2026-06-06 03:14:53,3,122185.86,Defective Product
307,3169,2026-03-01 14:36:02,1,9618.22,Size Issue
308,3742,2026-03-06 16:19:19,2,120153.94,Damaged Product
309,4550,2026-03-05 21:35:25,4,224586.48,Size Issue
310,1390,2026-06-17 02:59:45,2,64971.28,Size Issue
311,8512,2026-06-11 07:01:28,2,123762.76,Damaged Product
312,1787,2026-06-30 23:59:59,2,29487.98,Wrong Item Delivered
313,2610,2024-06-02 03:58:03,3,33732.0,Customer Changed Mind
314,9826,2026-06-22 19:04:02,5,277185.95,Defective Product
315,1623,2025-04-30 11:55:22,4,3919.28,Wrong Item Delivered
316,11477,2026-01-29 21:44:58,1,60076.97,Damaged Product
317,12888,2026-03-01 00:09:51,3,89142.78,Damaged Product
318,11546,2025-10-11 23:04:56,3,171845.22,Customer Changed Mind
319,6162,2026-02-13 20:57:35,3,189372.66,Damaged Product
320,12436,2026-06-30 23:59:59,3,55840.95,Size Issue
321,8873,2026-06-18 23:02:53,5,148571.3,Damaged Product
322,6582,2025-11-01 13:49:34,3,198307.29,Wrong Item Delivered
323,833,2026-06-26 07:50:46,3,127182.36,Damaged Product
324,6200,2026-06-30 00:14:30,3,76939.08,Defective Product
325,2965,2026-01-30 04:42:38,1,4745.62,Customer Changed Mind
326,5328,2026-06-30 14:04:05,1,5533.32,Defective Product
327,3505,2026-04-26 08:11:31,1,10425.94,Size Issue
328,6834,2025-07-24 08:41:46,1,19251.91,Wrong Item Delivered
329,13054,2026-01-18 17:50:10,2,42791.06,Defective Product
330,11944,2026-06-30 23:59:59,4,162398.92,Customer Changed Mind
331,1172,2026-04-29 04:37:18,4,49320.76,Customer Changed Mind
332,3380,2026-06-28 05:46:23,4,21982.88,Size Issue
333,10868,2026-06-21 03:16:23,5,13987.7,Size Issue
334,8506,2026-06-09 01:05:19,2,136919.18,Customer Changed Mind
335,1570,2026-06-13 17:01:51,3,89710.05,Defective Product
336,8501,2026-04-02 13:49:06,2,110874.38,Customer Changed Mind
337,4429,2026-05-02 19:08:20,1,21659.92,Size Issue
338,8422,2026-06-21 00:18:08,5,112620.1,Customer Changed Mind
339,7418,2026-06-21 01:43:02,1,40599.73,Wrong Item Delivered
340,8613,2026-06-30 23:59:59,4,215107.52,Wrong Item Delivered
341,8183,2025-07-06 11:21:43,4,150024.2,Damaged Product
342,7704,2026-04-30 09:53:08,2,118077.66,Wrong Item Delivered
343,7614,2026-06-25 07:41:21,1,12779.39,Customer Changed Mind
344,1207,2026-06-30 23:59:59,3,122185.86,Size Issue
345,1220,2026-06-18 19:00:52,4,80892.56,Size Issue
346,495,2026-01-29 04:53:40,1,60076.97,Wrong Item Delivered
347,9525,2026-06-23 21:03:20,4,60429.8,Wrong Item Delivered
348,734,2024-06-27 15:18:22,3,151453.56,Size Issue
349,11149,2025-09-29 06:55:08,2,18204.14,Size Issue
350,9594,2025-05-01 21:20:20,4,264363.12,Wrong Item Delivered
351,3974,2026-06-13 05:24:06,5,100312.85,Defective Product
352,3253,2026-05-22 02:20:54,4,220749.2,Wrong Item Delivered
353,10698,2026-06-29 14:15:00,2,132204.86,Customer Changed Mind
354,12251,2026-01-28 12:49:24,4,240388.16,Customer Changed Mind
355,12391,2026-01-21 22:29:24,3,64186.59,Size Issue
356,2650,2026-05-02 10:15:30,5,114270.95,Customer Changed Mind
357,174,2026-06-07 19:40:45,4,224586.48,Size Issue
358,7423,2026-06-05 09:28:39,2,101218.32,Damaged Product
359,10277,2026-06-30 23:59:59,1,19251.91,Size Issue
360,6519,2025-05-30 12:45:22,4,140656.16,Customer Changed Mind
361,2955,2025-04-08 13:45:29,2,49485.0,Customer Changed Mind
362,5967,2026-06-30 23:59:59,2,91165.2,Damaged Product
363,7889,2026-06-17 20:46:53,3,133156.89,Size Issue
364,3489,2026-06-20 10:02:43,1,11169.83,Customer Changed Mind
365,1417,2025-08-14 08:52:02,4,41515.52,Wrong Item Delivered
366,6325,2026-06-30 23:59:59,4,182362.96,Wrong Item Delivered
367,9893,2026-06-28 00:44:32,1,41507.35,Damaged Product
368,6074,2026-06-29 01:40:48,5,281139.85,Defective Product
369,7044,2026-05-21 00:18:50,5,312735.2,Defective Product
370,2468,2025-09-08 09:59:14,1,2750.44,Customer Changed Mind
371,9074,2026-06-24 17:12:12,1,10378.88,Damaged Product
372,5270,2025-02-23 17:23:52,4,85582.12,Size Issue
373,9221,2026-04-09 14:32:15,4,44679.32,Customer Changed Mind
374,10819,2026-03-18 07:45:12,1,10808.33,Damaged Product
375,11397,2026-06-26 23:08:42,4,140662.16,Defective Product
376,1374,2026-02-24 09:35:00,2,45845.92,Damaged Product
377,6652,2026-06-23 05:18:08,5,154706.5,Wrong Item Delivered
378,10047,2026-01-19 11:42:31,5,210882.7,Customer Changed Mind
379,1135,2026-06-17 13:58:49,4,29647.48,Defective Product
380,5874,2026-06-25 22:33:01,4,221682.04,Defective Product
381,8908,2025-06-15 10:09:15,5,161488.7,Defective Product
382,10730,2026-06-14 13:13:04,2,53940.66,Wrong Item Delivered
383,2471,2026-04-17 20:19:29,5,295194.15,Defective Product
384,12928,2025-06-08 13:04:49,4,273818.32,Defective Product
385,438,2026-06-13 15:36:44,2,2700.04,Damaged Product
386,10166,2026-06-20 03:36:14,3,170781.27,Wrong Item Delivered
387,1505,2026-05-06 23:22:59,4,256021.12,Size Issue
388,277,2025-11-01 13:28:43,1,7901.41,Defective Product
389,184,2026-06-08 09:41:57,3,140126.82,Damaged Product
390,3858,2024-11-28 10:27:58,5,167222.45,Customer Changed Mind
391,7017,2025-12-25 15:04:14,4,181694.48,Size Issue
392,7078,2026-03-11 21:32:55,4,7443.96,Size Issue
393,7662,2026-06-13 18:00:55,5,13752.2,Defective Product
394,13021,2025-08-08 22:51:57,3,60669.42,Customer Changed Mind
395,5364,2026-06-02 00:15:21,2,114997.86,Damaged Product
